iter	Passed	Remaining
0	143	143109
1	146	72855
2	149	49533
3	153	38201
4	156	31121
5	160	26608
6	163	23148
7	166	20592
8	168	18592
9	171	16971
10	174	15654
11	175	14489
12	177	13499
13	179	12638
14	181	11890
15	182	11232
16	183	10638
17	185	10107
18	187	9662
19	188	9236
20	189	8845
21	190	8481
22	191	8147
23	192	7840
24	193	7559
25	194	7297
26	195	7052
27	196	6824
28	197	6612
29	198	6414
30	199	6229
31	201	6080
32	201	5913
33	202	5755
34	203	5609
35	204	5469
36	205	5335
37	205	5211
38	206	5092
39	207	4978
40	208	4871
41	209	4770
42	209	4671
43	210	4578
44	211	4489
45	212	4404
46	213	4321
47	213	4242
48	215	4178
49	216	4107
50	217	4042
51	218	3977
52	219	3913
53	219	3851
54	220	3791
55	221	3733
56	222	3677
57	223	3622
58	223	3570
59	224	3520
60	225	3470
61	226	3423
62	227	3378
63	228	3334
64	229	3301
65	230	3264
66	231	3225
67	232	3189
68	233	3153
69	234	3116
70	235	3080
71	236	3044
72	236	3008
73	237	2975
74	238	2942
75	239	2910
76	240	2879
77	240	2848
78	241	2818
79	242	2789
80	243	2761
81	244	2742
82	245	2711
83	246	2685
84	247	2659
85	247	2634
86	248	2609
87	249	2585
88	250	2561
89	251	2539
90	251	2516
91	252	2495
92	253	2473
93	254	2452
94	255	2432
95	256	2411
96	256	2391
97	257	2371
98	259	2361
99	260	2343
100	261	2324
101	261	2306
102	262	2288
103	263	2271
104	264	2254
105	265	2237
106	266	2220
107	266	2204
108	267	2188
109	268	2172
110	269	2157
111	270	2141
112	270	2126
113	271	2111
114	272	2096
115	274	2089
116	274	2074
117	275	2061
118	276	2047
119	277	2034
120	278	2021
121	278	2006
122	279	1994
123	280	1981
124	281	1968
125	282	1956
126	282	1943
127	283	1931
128	284	1919
129	285	1908
130	285	1896
131	286	1885
132	287	1874
133	289	1871
134	290	1862
135	291	1854
136	293	1846
137	294	1838
138	295	1832
139	297	1824
140	298	1817
141	299	1806
142	299	1797
143	300	1788
144	301	1778
145	303	1776
146	304	1768
147	305	1759
148	306	1751
149	307	1742
150	308	1733
151	309	1724
152	309	1715
153	310	1707
154	311	1698
155	312	1689
156	313	1681
157	313	1673
158	314	1664
159	315	1656
160	316	1646
161	316	1639
162	318	1636
163	319	1629
164	320	1623
165	321	1616
166	322	1610
167	323	1603
168	324	1595
169	325	1588
170	326	1581
171	326	1574
172	327	1567
173	328	1560
174	329	1553
175	330	1546
176	331	1539
177	331	1532
178	333	1529
179	334	1523
180	335	1517
181	336	1511
182	336	1504
183	337	1497
184	338	1491
185	339	1485
186	340	1478
187	341	1472
188	341	1466
189	342	1460
190	343	1454
191	344	1448
192	345	1442
193	345	1436
194	346	1430
195	348	1429
196	349	1423
197	350	1418
198	351	1413
199	352	1408
200	352	1402
201	353	1397
202	354	1391
203	355	1386
204	356	1381
205	356	1375
206	357	1370
207	358	1365
208	359	1360
209	360	1355
210	361	1349
211	362	1347
212	363	1342
213	364	1338
214	365	1333
215	365	1328
216	366	1323
217	367	1318
218	368	1313
219	369	1308
220	369	1304
221	370	1299
222	371	1294
223	372	1290
224	373	1285
225	374	1281
226	374	1276
227	375	1272
228	376	1268
229	377	1265
230	378	1261
231	379	1256
232	380	1252
233	381	1248
234	382	1243
235	382	1239
236	383	1235
237	384	1230
238	385	1226
239	385	1222
240	386	1218
241	387	1213
242	388	1209
243	389	1205
244	389	1201
245	390	1197
246	393	1198
247	393	1194
248	394	1190
249	395	1186
250	396	1182
251	397	1178
252	397	1174
253	398	1171
254	399	1167
255	400	1163
256	401	1159
257	401	1155
258	402	1151
259	403	1148
260	404	1144
261	405	1141
262	406	1140
263	408	1137
264	409	1134
265	410	1132
266	411	1128
267	411	1125
268	412	1121
269	413	1118
270	414	1114
271	415	1111
272	415	1107
273	416	1104
274	417	1100
275	418	1097
276	419	1094
277	419	1090
278	421	1090
279	422	1087
280	423	1083
281	424	1080
